X,Y
-3.466666667,-0.108333333
-3.456666667,-0.108333333
-3.446666667,-0.108333333
-3.436666667,-0.108333333
-3.426666667,-0.108333333
-3.416666667,-0.108333333
-3.406666667,-0.108333333
-3.396666667,-0.108333333
-3.386666667,-0.108333333
-3.376666667,-0.108333333
-3.366666667,-0.108333333
-3.356666667,-0.108333333
-3.340051815,-0.107946484
-3.330104782,-0.107785941
-3.320160052,-0.107518392
-3.310218775,-0.107143865
-3.300282104,-0.106662405
-3.290351187,-0.106074068
-3.280427175,-0.105378921
-3.270511216,-0.104577046
-3.260604458,-0.103668534
-3.250708048,-0.102653491
-3.240823131,-0.101532035
-3.230950852,-0.100304295
-3.221092353,-0.098970414
-3.211248775,-0.097530545
-3.201421258,-0.095984856
-3.191610939,-0.094333525
-3.181818955,-0.092576744
-3.172046437,-0.090714716
-3.162294518,-0.088747657
-3.152564327,-0.086675793
-3.142856989,-0.084499365
-3.133173628,-0.082218626
-3.123515366,-0.079833838
-3.11388332,-0.077345278
-3.104278605,-0.074753235
-3.094702332,-0.072058007
-3.085155611,-0.069259907
-3.075639546,-0.066359259
-3.06615524,-0.063356399
-3.056703788,-0.060251674
-3.047286287,-0.057045444
-3.037903826,-0.05373808
-3.02855749,-0.050329964
-3.019248362,-0.046821491
-3.009977519,-0.043213067
-3.000746035,-0.039505111
-2.991554978,-0.03569805
-2.982405411,-0.031792326
-2.973298395,-0.027788391
-2.964234982,-0.023686709
-2.955216223,-0.019487753
-2.946243161,-0.015192011
-2.937316835,-0.010799979
-2.928438277,-0.006312166
-2.919608517,-0.001729091
-2.910828575,0.002948715
-2.902099469,0.007720711
-2.893422208,0.012586345
-2.884797797,0.017545052
-2.876227234,0.02259626
-2.867711512,0.027739383
-2.859251615,0.032973827
-2.850848524,0.038298984
-2.842503211,0.04371424
-2.834216642,0.049218967
-2.825989776,0.054812527
-2.817823565,0.060494274
-2.809718955,0.06626355
-2.801676884,0.072119687
-2.793698283,0.078062007
-2.785784075,0.084089822
-2.777935176,0.090202434
-2.770152495,0.096399136
-2.762436932,0.102679212
-2.754789382,0.109041932
-2.747210728,0.115486562
-2.739701849,0.122012356
-2.732263614,0.128618557
-2.724896882,0.135304401
-2.717602508,0.142069115
-2.710381336,0.148911915
-2.7032342,0.155832009
-2.69616193,0.162828596
-2.689165342,0.169900867
-2.682245248,0.177048002
-2.675402448,0.184269175
-2.668637735,0.191563549
-2.66195189,0.19893028
-2.655345689,0.206368516
-2.648819896,0.213877395
-2.642375266,0.221456049
-2.636012545,0.229103599
-2.62973247,0.236819161
-2.623535767,0.244601842
-2.617423155,0.252450741
-2.61139534,0.26036495
-2.60545302,0.268343551
-2.599596883,0.276385622
-2.593827608,0.284490232
-2.588145861,0.292656443
-2.5825523,0.300883309
-2.577047573,0.309169878
-2.571632318,0.317515191
-2.56630716,0.325918282
-2.561072717,0.334378179
-2.555929593,0.342893901
-2.550878386,0.351464464
-2.545919678,0.360088875
-2.541054045,0.368766136
-2.536282049,0.377495242
-2.531604243,0.386275184
