timestamp,x,y,yaw,cte,yaw_err,steer_cmd,v_cmd
1769503410984779233,-5.0374,1.3302,1.4831,-0.0461,0.1240,0.8514,0.04
1769503411038822711,-5.0374,1.3302,1.4831,-0.0419,0.0624,0.4530,0.08
1769503411083330547,-5.0376,1.3283,1.4834,-0.0414,0.0618,0.4269,0.12
1769503411133725061,-5.0381,1.3181,1.4863,-0.0405,0.0638,0.4106,0.16
1769503411188560615,-5.0392,1.3051,1.5016,-0.0381,0.0571,0.3428,0.20
1769503411234153169,-5.0398,1.2996,1.5051,-0.0369,0.0528,0.2904,0.24
1769503411284239766,-5.0392,1.3024,1.5034,-0.0381,0.0553,0.2766,0.28
1769503411332984645,-5.0386,1.3110,1.5160,-0.0394,0.0387,0.1566,0.32
1769503411383920485,-5.0376,1.3261,1.5347,-0.0414,0.0105,-0.0455,0.36
1769503411437547772,-5.0375,1.3484,1.5569,-0.0417,-0.0236,-0.2949,0.40
1769503411490543449,-5.0367,1.3695,1.5678,0.0000,-0.3715,-1.0000,0.40
1769503411532535630,-5.0371,1.3873,1.5704,-0.0467,0.0229,-0.1686,0.40
1769503411582645056,-5.0364,1.4092,1.5569,-0.0439,-0.0725,-0.5537,0.40
1769503411634550986,-5.0362,1.4339,1.5277,0.0000,-0.4643,-1.0000,0.40
1769503411685009358,-5.0344,1.4538,1.5109,-0.0527,0.0532,0.2164,0.40
1769503411734026762,-5.0342,1.4697,1.4933,-0.0482,-0.0694,-0.2833,0.40
1769503411782652503,-5.0320,1.4877,1.4584,-0.0526,-0.0521,-0.1539,0.40
1769503411833041888,-5.0320,1.4877,1.4584,-0.0526,-0.0521,-0.1297,0.40
1769503411892192166,-5.0264,1.5272,1.4026,-0.0639,-0.0433,-0.0856,0.40
1769503411934177712,-5.0229,1.5429,1.3938,-0.0710,-0.0532,-0.1535,0.40
1769503411986889384,-5.0197,1.5623,1.3844,-0.0773,-0.0752,-0.3177,0.40
1769503412039673228,-5.0153,1.5849,1.3736,-0.0860,-0.0973,-0.5013,0.40
1769503412087100741,-5.0115,1.6049,1.3667,-0.0937,-0.1249,-0.7151,0.40
1769503412133378727,-5.0080,1.6212,1.3571,-0.1008,-0.1503,-0.9168,0.40
1769503412182929463,-5.0036,1.6401,1.3372,-0.1095,-0.1671,-1.0000,0.40
1769503412239933375,-4.9983,1.6614,1.3035,-0.1320,0.0660,0.4346,0.40
1769503412283448804,-4.9935,1.6792,1.2652,-0.1296,-0.1732,-0.8819,0.40
1769503412332858021,-4.9885,1.6930,1.2403,-0.1397,-0.1860,-1.0000,0.40
1769503412383438950,-4.9864,1.7082,1.2030,-0.1582,0.0961,0.6332,0.40
1769503412439765615,-4.9793,1.7270,1.1813,-0.1580,-0.2124,-1.0000,0.40
1769503412486277801,-4.9732,1.7433,1.1529,-0.1874,0.0868,0.5602,0.40
1769503412532889836,-4.9662,1.7586,1.1222,-0.1842,-0.2221,-1.0000,0.40
1769503412582424068,-4.9579,1.7776,1.0896,-0.2210,0.0735,0.4412,0.40
1769503412637857477,-4.9461,1.7985,1.0553,-0.2245,-0.2461,-1.0000,0.40
1769503412682699916,-4.9461,1.7985,1.0553,-0.2470,0.0700,0.3194,0.40
1769503412732149042,-4.9340,1.8220,1.0122,-0.2487,-0.2447,-1.0000,0.40
1769503412785656496,-4.9208,1.8414,0.9862,-0.3027,0.0119,-0.1211,0.40
1769503412832151771,-4.9081,1.8662,0.9318,-0.2997,-0.2530,-1.0000,0.40
1769503412882340078,-4.9081,1.8662,0.9318,-0.3296,0.0006,-0.2484,0.40
1769503412932310059,-4.8902,1.8943,0.8827,-0.3295,-0.2547,-1.0000,0.40
1769503412982329420,-4.8816,1.9047,0.8619,-0.3772,-0.0484,-0.6457,0.40
1769503413037003473,-4.8677,1.9203,0.8212,-0.3632,-0.2377,-1.0000,0.40
1769503413082247712,-4.8534,1.9368,0.7810,-0.4191,-0.0489,-0.6809,0.40
1769503413132214936,-4.8402,1.9494,0.7455,-0.3968,-0.2137,-1.0000,0.40
1769503413182450035,-4.8246,1.9650,0.7019,-0.4532,-0.0333,-0.5276,0.40
1769503413235457209,-4.8054,1.9795,0.6465,-0.4310,-0.1625,-1.0000,0.40
1769503413282258876,-4.7877,1.9896,0.6103,-0.4937,-0.0020,-0.2722,0.40
1769503413332446098,-4.7719,1.9980,0.5758,-0.4630,-0.1193,-0.8426,0.40
1769503413382452892,-4.7593,2.0072,0.5453,-0.4692,-0.1050,-0.8286,0.40
1769503413432590791,-4.7434,2.0151,0.5144,-0.4792,-0.0868,-0.7546,0.40
1769503413482978494,-4.7244,2.0257,0.4847,-0.4861,-0.0714,-0.6707,0.40
1769503413532240565,-4.7078,2.0356,0.4517,-0.4875,-0.0532,-0.5561,0.40
1769503413582628471,-4.6935,2.0431,0.4237,-0.4876,-0.0381,-0.4551,0.40
1769503413632461390,-4.6763,2.0521,0.3930,-0.4846,-0.0207,-0.3408,0.40
1769503413684867746,-4.6557,2.0611,0.3579,-0.4799,0.0026,-0.1907,0.40
1769503413732263320,-4.6376,2.0681,0.3360,-0.4741,0.0143,-0.1100,0.40
1769503413782424415,-4.6226,2.0747,0.3198,-0.4649,0.0191,-0.0793,0.40
1769503413832533796,-4.6042,2.0823,0.3057,-0.4519,0.0222,-0.0691,0.40
1769503413887241156,-4.5821,2.0922,0.2970,-0.4323,0.0142,-0.1317,0.40
1769503413932538012,-4.5625,2.1010,0.2887,-0.4147,0.0104,-0.1740,0.40
1769503413982569318,-4.5470,2.1044,0.2841,-0.4078,0.0105,-0.2062,0.40
1769503414032495114,-4.5283,2.1102,0.2775,-0.3962,0.0086,-0.2379,0.40
1769503414082358420,-4.5071,2.1175,0.2676,-0.3816,0.0052,-0.2718,0.40
1769503414135866797,-4.4895,2.1232,0.2580,-0.3702,0.0061,-0.2803,0.40
1769503414182853436,-4.4751,2.1282,0.2480,-0.3603,0.0109,-0.2566,0.40
1769503414232533320,-4.4575,2.1337,0.2341,-0.3493,0.0165,-0.2197,0.40
1769503414282970113,-4.4362,2.1392,0.2200,-0.3383,0.0234,-0.1699,0.40
1769503414332739962,-4.4182,2.1456,0.2048,-0.3254,0.0291,-0.1224,0.40
1769503414382471825,-4.4038,2.1512,0.1912,-0.3142,0.0330,-0.0874,0.40
1769503414432570517,-4.3883,2.1594,0.1708,-0.2979,0.0409,-0.0260,0.40
1769503414482489680,-4.3697,2.1646,0.1650,-0.2875,0.0390,-0.0276,0.40
1769503414532563334,-4.3524,2.1666,0.1557,-0.2834,0.0476,0.0196,0.40
1769503414582699394,-4.3369,2.1700,0.1552,0.0000,-0.0167,-0.0202,0.40
1769503414632438036,-4.3157,2.1724,0.1503,0.0000,-0.0154,-0.0640,0.40
1769503414682363969,-4.2906,2.1771,0.1483,0.0000,-0.0172,-0.0918,0.40
1769503414732422152,-4.2692,2.1808,0.1470,0.0000,-0.0195,-0.1072,0.40
1769503414782236417,-4.2494,2.1848,0.1430,0.0000,-0.0194,-0.1077,0.40
1769503414832295803,-4.2494,2.1848,0.1430,0.0000,-0.0194,-0.1031,0.40
1769503414882327724,-4.2152,2.1900,0.1420,0.0000,-0.0241,-0.1111,0.40
1769503414935379694,-4.1945,2.1944,0.1327,0.0000,-0.0192,-0.0896,0.40
1769503414983027584,-4.1764,2.1969,0.1337,0.0000,-0.0229,-0.0921,0.40
1769503415032873707,-4.1610,2.1992,0.1310,0.0000,-0.0219,-0.0828,0.40
1769503415082811045,-4.1419,2.2026,0.1300,0.0000,-0.0244,-0.0841,0.40
1769503415135484434,-4.1192,2.2068,0.1202,0.0000,-0.0194,-0.0636,0.40
1769503415187866908,-4.0993,2.2086,0.1186,0.0000,-0.0196,-0.0568,0.40
1769503415233321816,-4.0828,2.2113,0.1153,0.0000,-0.0183,-0.0484,0.40
1769503415292414050,-4.0606,2.2153,0.1145,0.0000,-0.0223,-0.0565,0.40
1769503415333668710,-4.0420,2.2182,0.1124,0.0000,-0.0222,-0.0558,0.40
1769503415383773650,-4.0234,2.2205,0.1100,0.0000,-0.0223,-0.0547,0.40
1769503415434020318,-4.0074,2.2224,0.1059,0.0000,-0.0205,-0.0477,0.40
1769503415483251067,-3.9885,2.2250,0.1032,0.0000,-0.0203,-0.0448,0.40
1769503415539241372,-3.9663,2.2286,0.0987,0.0000,-0.0192,-0.0396,0.40
1769503415587086560,-3.9469,2.2298,0.0965,0.0000,-0.0183,-0.0352,0.40
1769503415634971720,-3.9305,2.2320,0.0940,0.0000,-0.0182,-0.0337,0.40
1769503415682792834,-3.9305,2.2320,0.0940,0.0000,-0.0182,-0.0331,0.40
1769503415733265230,-3.8978,2.2355,0.0917,0.0000,-0.0192,-0.0364,0.40
1769503415789593665,-3.8876,2.2367,0.0919,0.0000,-0.0205,-0.0413,0.40
1769503415833752593,-3.8510,2.2415,0.0816,0.0000,-0.0152,-0.0260,0.40
1769503415882928768,-3.8510,2.2415,0.0816,0.0000,-0.0152,-0.0236,0.40
1769503415934566135,-3.8117,2.2459,0.0776,0.0000,-0.0156,-0.0239,0.40
1769503415985454771,-3.7946,2.2465,0.0799,0.0000,-0.0181,-0.0323,0.40
1769503416034510555,-3.7798,2.2477,0.0759,0.0000,-0.0157,-0.0265,0.40
1769503416083166072,-3.7625,2.2502,0.0703,0.0000,-0.0126,-0.0168,0.40
1769503416135136813,-3.7452,2.2537,0.0711,0.0000,-0.0166,-0.0280,0.40
