X,Y
-0.318,2.55
-0.308,2.55
-0.298,2.55
-0.288,2.55
-0.278,2.55
-0.268,2.55
-0.258,2.55
-0.248,2.55
-0.238,2.55
-0.228,2.55
-0.218,2.55
-0.208,2.55
-0.198,2.55
-0.188,2.55
-0.178,2.55
-0.168,2.55
-0.158,2.55
-0.148,2.55
-0.138,2.55
-0.128,2.55
-0.118,2.55
-0.108,2.55
-0.098,2.55
-0.088,2.55
-0.078,2.55
-0.068,2.55
-0.058,2.55
-0.048,2.55
-0.038,2.55
-0.028,2.55
-0.018,2.55
-0.008,2.55
0.002,2.55
0.012,2.55
0.022,2.55
0.032,2.55
0.042,2.55
0.052,2.55
0.062,2.55
0.072,2.55
0.082,2.55
0.092,2.55
0.102,2.55
0.112,2.55
0.122,2.55
0.132,2.55
0.142,2.55
0.152,2.55
0.162,2.55
0.172,2.55
0.182,2.55
0.192,2.55
0.202,2.55
0.212,2.55
0.222,2.55
0.232,2.55
0.242,2.55
0.252,2.55
0.262,2.55
0.272,2.55
0.282,2.55
0.292,2.55
0.302,2.55
0.312,2.55
0.322,2.55
0.332,2.55
0.342,2.55
0.352,2.55
0.362,2.55
0.372,2.55
0.382,2.55
0.392,2.55
0.402,2.55
0.412,2.55
0.422,2.55
0.432,2.55
0.442,2.55
0.452,2.55
0.462,2.55
0.472,2.55
0.482,2.55
0.492,2.55
0.502,2.55
0.512,2.55
0.522,2.55
0.532,2.55
0.542,2.55
0.552,2.55
0.562,2.55
0.572,2.55
0.582,2.55
0.592,2.55
0.602,2.55
0.612,2.55
0.622,2.55
0.632,2.55
0.642,2.55
0.652,2.55
0.662,2.55
0.672,2.55
0.682,2.55
0.692,2.55
0.702,2.55
0.712,2.55
0.722,2.55
0.732,2.55
0.742,2.55
0.752,2.55
0.762,2.55
0.772,2.55
0.782,2.55
0.792,2.55
0.802,2.55
0.812,2.55
0.822,2.55
0.832,2.55
0.842,2.55
0.852,2.55
0.862,2.55
0.872,2.55
0.882,2.55
0.892,2.55
0.902,2.55
0.912,2.55
0.922,2.55
0.932,2.55
0.942,2.55
0.952,2.55
0.962,2.55
0.972,2.55
0.982,2.55
0.992,2.55
1.002,2.55
1.012,2.55
1.022,2.55
1.032,2.55
1.042,2.55
1.052,2.55
1.062,2.55
1.072,2.55
1.082,2.55
1.092,2.55
1.102,2.55
1.112,2.55
1.122,2.55
1.132,2.55
1.142,2.55
1.152,2.55
1.162,2.55
1.172,2.55
1.182,2.55
1.192,2.55
1.202,2.55
1.212,2.55
1.222,2.55
1.232,2.55
1.242,2.55
1.252,2.55
1.262,2.55
1.272,2.55
1.282,2.55
1.292,2.55
1.302,2.55
1.312,2.55
1.322,2.55
1.332,2.55
1.342,2.55
1.352,2.55
1.362,2.55
1.372,2.55
1.382,2.55
1.392,2.55
1.402,2.55
1.412,2.55
1.422,2.55
1.432,2.55
1.442,2.55
1.452,2.55
1.462,2.55
1.472,2.55
1.482,2.55
1.492,2.55
1.502,2.55
1.512,2.55
1.522,2.55
1.532,2.55
1.542,2.55
1.552,2.55
1.562,2.55
1.572,2.55
1.575,1.277
1.575,1.283
1.575,1.29
1.575,1.297
1.575,1.304
1.575,1.311
1.575,1.318
1.575,1.328
1.575,1.338
1.575,1.348
1.575,1.358
1.575,1.368
1.575,1.378
1.575,1.388
1.575,1.398
1.575,1.4
1.575,1.41
1.575,1.42
1.575,1.43
1.575,1.44
1.575,1.45
1.575,1.46
1.575,1.47
1.575,1.48
1.575,1.49
1.575,1.5
1.575,1.51
1.575,1.52
1.575,1.53
1.575,1.54
1.575,1.55
1.575,1.56
1.575,1.57
1.575,1.58
1.575,1.59
1.575,1.6
1.575,1.61
1.575,1.62
1.575,1.63
1.575,1.64
1.575,1.65
1.575,1.66
1.575,1.67
1.575,1.68
1.575,1.69
1.575,1.7
1.575,1.71
1.575,1.72
1.575,1.73
1.575,1.74
1.575,1.75
1.575,1.76
1.575,1.77
1.575,1.78
1.575,1.79
1.575,1.8
1.575,1.81
1.575,1.82
1.575,1.83
1.575,1.84
1.575,1.85
1.575,1.86
1.576,1.256
1.576,1.263
1.576,1.27
1.576,1.87
1.576,1.88
1.576,1.89
1.577,1.242
1.577,1.249
1.577,1.9
1.578,1.235
1.578,1.91
1.579,1.227
1.579,1.919
1.58,1.22
1.58,1.929
1.581,1.213
1.581,1.939
1.582,1.206
1.582,1.949
1.582,2.55
1.583,1.198
1.584,1.959
1.585,1.191
1.585,1.969
1.586,1.183
1.587,1.978
1.588,1.176
1.589,1.988
1.59,1.168
1.591,1.998
1.592,1.161
1.592,2.55
1.593,2.008
1.594,1.153
1.595,2.017
1.596,1.145
1.598,2.027
1.599,1.137
1.6,2.036
1.601,1.13
1.602,2.55
1.603,2.046
1.604,1.122
1.606,2.056
1.607,1.114
1.609,2.065
1.61,1.106
1.612,2.074
1.612,2.55
1.613,1.098
